# opc             name  encoding        type diff pop push
   0,              nop,      b,       T_VOID,   0, 0, 0
 122,             ishr,      b,        T_INT,  -1, 2, 1
 123,             lshr,      b,       T_LONG,  -1, 2, 1
 124,            iushr,      b,        T_INT,  -1, 2, 1
 125,            lushr,      b,       T_LONG,  -1, 2, 1
 126,             iand,      b,        T_INT,  -1, 2, 1
 127,             land,      b,       T_LONG,  -2, 2, 1
 128,              ior,      b,        T_INT,  -1, 2, 1
 129,              lor,      b,       T_LONG,  -2, 2, 1
 130,             ixor,      b,        T_INT,  -1, 2, 1
 131,             lxor,      b,       T_LONG,  -2, 2, 1
 132,             iinc,    bic,       T_VOID,   0, 0, 0
 133,              i2l,      b,       T_LONG,   1, 1, 1
 134,              i2f,      b,      T_FLOAT,   0, 1, 1
 135,              i2d,      b,     T_DOUBLE,   1, 1, 1
 136,              l2i,      b,        T_INT,  -1, 1, 1
 137,              l2f,      b,      T_FLOAT,  -1, 1, 1
 138,              l2d,      b,     T_DOUBLE,   0, 1, 1
 139,              f2i,      b,        T_INT,   0, 1, 1
 140,              f2l,      b,       T_LONG,   1, 1, 1
 141,              f2d,      b,     T_DOUBLE,   1, 1, 1
 142,              d2i,      b,        T_INT,  -1, 1, 1
 143,              d2l,      b,       T_LONG,   0, 1, 1
 144,              d2f,      b,      T_FLOAT,  -1, 1, 1
 145,              i2b,      b,       T_BYTE,   0, 1, 1
 146,              i2c,      b,       T_CHAR,   0, 1, 1
 147,              i2s,      b,      T_SHORT,   0, 1, 1
 148,             lcmp,      b,       T_VOID,  -3, 2, 1
 149,            fcmpl,      b,       T_VOID,  -1, 2, 1
 150,            fcmpg,      b,       T_VOID,  -1, 2, 1
 151,            dcmpl,      b,       T_VOID,  -3, 2, 1
 152,            dcmpg,      b,       T_VOID,  -3, 2, 1
 153,             ifeq,    boo,       T_VOID,  -1, 1, 0
 154,             ifne,    boo,       T_VOID,  -1, 1, 0
 155,             iflt,    boo,       T_VOID,  -1, 1, 0
 156,             ifge,    boo,       T_VOID,  -1, 1, 0
 157,             ifgt,    boo,       T_VOID,  -1, 1, 0
 158,             ifle,    boo,       T_VOID,  -1, 1, 0
 159,        if_icmpeq,    boo,       T_VOID,  -2, 2, 0
 160,        if_icmpne,    boo,       T_VOID,  -2, 2, 0
 161,        if_icmplt,    boo,       T_VOID,  -2, 2, 0
 162,        if_icmpge,    boo,       T_VOID,  -2, 2, 0
 163,        if_icmpgt,    boo,       T_VOID,  -2, 2, 0
 164,        if_icmple,    boo,       T_VOID,  -2, 2, 0
 165,        if_acmpeq,    boo,       T_VOID,  -2, 2, 0
 166,        if_acmpne,    boo,       T_VOID,  -2, 2, 0
 167,             goto,    boo,       T_VOID,   0, 0, 0
 168,              jsr,    boo,        T_INT,   0, 0, 1
 169,              ret,     bi,       T_VOID,   0, 0, 0
 170,      tableswitch,       ,       T_VOID,  -1, 1, 0
 171,     lookupswitch,       ,       T_VOID,  -1, 1, 0
 172,          ireturn,      b,        T_INT,  -1, 1, 0
 173,          lreturn,      b,       T_LONG,  -2, 1, 0
 174,          freturn,      b,      T_FLOAT,  -1, 1, 0
 175,          dreturn,      b,     T_DOUBLE,  -2, 1, 0
 176,          areturn,      b,     T_OBJECT,  -1, 1, 0
 177,           return,      b,       T_VOID,   0, 0, 0
 178,        getstatic,    bJJ,    T_ILLEGAL,   1, 0, 1
 179,        putstatic,    bJJ,    T_ILLEGAL,  -1, 1, 0
 180,         getfield,    bJJ,    T_ILLEGAL,   0, 1, 1
 181,         putfield,    bJJ,    T_ILLEGAL,  -2, 2, 0
 182,    invokevirtual,    bJJ,    T_ILLEGAL,  -1, 0, 0
 183,    invokespecial,    bJJ,    T_ILLEGAL,  -1, 0, 0
 184,     invokestatic,    bJJ,    T_ILLEGAL,   0, 0, 0
 185,  invokeinterface,  bJJ__,    T_ILLEGAL,  -1, 0, 0
 186,    invokedynamic,  bJJJJ,    T_ILLEGAL,   0, 0, 0
 187,              new,    bkk,     T_OBJECT,   1, 0, 1
 188,         newarray,     bc,     T_OBJECT,   0, 1, 1
 189,        anewarray,    bkk,     T_OBJECT,   0, 1, 1
 190,      arraylength,      b,       T_VOID,   0, 1, 1
 191,           athrow,      b,       T_VOID,  -1, 1, 0
 192,        checkcast,    bkk,     T_OBJECT,   0, 1, 1
 193,       instanceof,    bkk,        T_INT,   0, 1, 1
 194,     monitorenter,      b,       T_VOID,  -1, 1, 0
 195,      monitorexit,      b,       T_VOID,  -1, 1, 0
 197,   multianewarray,   bkkc,     T_OBJECT,   1, 0, 1
 198,           ifnull,    boo,       T_VOID,  -1, 1, 0
 199,        ifnonnull,    boo,       T_VOID,  -1, 1, 0
 200,           goto_w,  boooo,       T_VOID,   0, 0, 0
 201,            jsr_w,  boooo,        T_INT,   0, 0, 0
 202,       breakpoint,       ,       T_VOID,   0, 0, 0
# Pseudo instructions
 203,        parameter,      b,       T_VOID,   1, 0, 1
 204,              phi,      b,       T_VOID,   0, 0, 0
